distance,left_pwm,right_pwm
1757,213,147
1761,213,147
1761,213,147
1788,213,147
1772,213,147
1772,213,147
1772,213,147
1773,213,147
1765,213,147
1765,213,147
1751,213,147
1749,213,147
1740,213,147
1740,213,147
1729,213,147
1710,213,147
1710,213,147
1713,213,147
1707,213,147
1693,213,147
1693,213,147
1686,213,147
1664,213,147
1651,213,147
1651,213,147
1644,213,147
1627,213,147
1627,213,147
1609,213,147
1595,213,147
1575,213,147
1575,213,147
1562,213,147
1547,213,147
1527,213,147
1527,213,147
1506,213,147
1487,213,147
1487,213,147
1463,213,147
1463,213,147
1439,213,147
1420,213,147
1420,213,147
1395,213,147
1395,213,147
1372,213,147
1372,213,147
1372,213,147
1318,213,147
1318,213,147
1318,213,147
1265,213,147
1265,213,147
1213,213,147
1213,213,147
1213,213,147
1155,213,147
1155,213,147
1155,213,147
1155,213,147
1094,213,147
1094,213,147
1094,213,147
1033,213,147
1033,213,147
969,213,147
969,213,147
969,213,147
912,213,147
912,213,147
912,213,147
912,213,147
838,213,147
838,213,147
771,213,147
771,213,147
771,213,147
702,213,147
702,213,147
631,213,147
631,213,147
631,213,147
631,213,147
558,213,147
558,213,147
558,213,147
489,213,147
489,213,147
489,213,147
418,213,147
418,213,147
418,213,147
336,0,0
336,0,0
336,0,0
336,0,0
336,0,0
250,0,0
250,0,0
250,0,0
250,0,0
250,0,0
250,0,0
250,0,0
169,0,0
169,0,0
169,0,0
169,0,0
169,0,0
169,0,0
169,0,0
81,0,0
81,0,0
81,0,0
81,0,0
81,0,0
81,0,0
81,0,0
81,0,0
81,0,0
81,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
23,0,0
23,0,0
23,0,0
23,0,0
23,0,0
23,0,0
23,0,0
23,0,0
23,0,0
32,0,0
32,0,0
32,0,0
32,0,0
32,0,0
32,0,0
32,0,0
61,0,0
61,0,0
61,0,0
61,0,0
61,0,0
61,0,0
61,0,0
103,0,0
103,0,0
103,0,0
103,0,0
103,0,0
103,0,0
109,0,0
109,0,0
109,0,0
109,0,0
109,0,0
109,0,0
124,0,0
124,0,0
124,0,0
124,0,0
124,0,0
124,0,0
124,0,0
137,0,0
137,0,0
137,0,0
137,0,0
137,0,0
137,0,0
137,0,0
137,0,0
137,0,0
143,0,0
143,0,0
143,0,0
143,0,0
143,0,0
143,0,0
143,0,0
143,0,0
143,0,0
143,0,0
137,0,0
137,0,0
137,0,0
137,0,0
137,0,0
137,0,0
137,0,0
137,0,0
137,0,0
137,0,0
142,0,0
142,0,0
142,0,0
142,0,0
142,0,0
142,0,0
142,0,0
142,0,0
142,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
142,0,0
142,0,0
142,0,0
142,0,0
142,0,0
142,0,0
142,0,0
142,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
139,0,0
139,0,0
139,0,0
139,0,0
139,0,0
139,0,0
139,0,0
139,0,0
139,0,0
139,0,0
142,0,0
142,0,0
142,0,0
142,0,0
142,0,0
142,0,0
142,0,0
142,0,0
139,0,0
139,0,0
139,0,0
139,0,0
139,0,0
139,0,0
139,0,0
141,0,0
141,0,0
141,0,0
141,0,0
141,0,0
141,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
137,0,0
137,0,0
137,0,0
137,0,0
137,0,0
137,0,0
142,0,0
142,0,0
142,0,0
142,0,0
142,0,0
142,0,0
142,0,0
141,0,0
141,0,0
141,0,0
141,0,0
141,0,0
141,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
139,0,0
139,0,0
139,0,0
139,0,0
139,0,0
139,0,0
139,0,0
139,0,0
139,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
142,0,0
142,0,0
142,0,0
142,0,0
142,0,0
142,0,0
141,0,0
141,0,0
141,0,0
141,0,0
141,0,0
141,0,0
141,0,0
141,0,0
141,0,0
141,0,0
138,0,0
138,0,0
138,0,0
138,0,0
138,0,0
138,0,0
138,0,0
138,0,0
138,0,0
138,0,0
141,0,0
141,0,0
141,0,0
141,0,0
141,0,0
141,0,0
141,0,0
141,0,0
141,0,0
141,0,0
141,0,0
141,0,0
141,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
143,0,0
143,0,0
143,0,0
143,0,0
143,0,0
143,0,0
143,0,0
139,0,0
139,0,0
139,0,0
139,0,0
139,0,0
139,0,0
139,0,0
143,0,0
143,0,0
143,0,0
143,0,0
143,0,0
143,0,0
143,0,0
143,0,0
138,0,0
138,0,0
138,0,0
138,0,0
138,0,0
138,0,0
138,0,0
138,0,0
138,0,0
138,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
140,0,0
139,0,0
139,0,0
139,0,0
139,0,0
139,0,0
139,0,0
143,0,0
143,0,0
143,0,0
143,0,0
143,0,0
143,0,0
141,0,0
141,0,0
141,0,0
