timestamp_ms,distance,left_pwm,right_pwm
2,880,213,147
20,876,213,147
31,876,213,147
46,880,213,147
57,880,213,147
68,880,213,147
85,876,213,147
101,876,213,147
112,876,213,147
133,863,213,147
144,863,213,147
161,854,213,147
175,854,213,147
186,854,213,147
203,840,213,147
214,840,213,147
230,818,213,147
241,818,213,147
263,818,213,147
279,803,213,147
296,803,213,147
312,778,213,147
329,778,213,147
350,752,213,147
367,752,213,147
378,719,213,147
392,719,213,147
403,719,213,147
414,690,213,147
431,690,213,147
457,655,213,147
468,655,213,147
490,614,213,147
507,614,213,147
518,614,213,147
529,573,213,147
545,573,213,147
567,530,213,147
593,530,213,147
604,485,213,147
620,485,213,147
635,439,213,147
646,439,213,147
657,439,213,147
674,394,0,0
689,394,0,0
693,394,0,0
698,394,0,0
702,394,0,0
706,394,0,0
712,341,0,0
717,341,0,0
721,341,0,0
725,341,0,0
731,341,0,0
734,341,0,0
741,341,0,0
745,296,0,0
750,296,0,0
758,296,0,0
762,296,0,0
771,296,0,0
776,296,0,0
780,296,0,0
784,247,0,0
792,247,0,0
798,247,0,0
802,247,0,0
807,247,0,0
811,247,0,0
815,247,0,0
824,204,0,0
830,204,0,0
834,204,0,0
838,204,0,0
842,204,0,0
846,204,0,0
855,157,0,0
861,157,0,0
865,157,0,0
870,157,0,0
873,157,0,0
877,157,0,0
886,157,0,0
892,119,0,0
896,119,0,0
901,119,0,0
904,119,0,0
908,119,0,0
917,119,0,0
923,119,0,0
927,119,0,0
935,66,0,0
940,66,0,0
944,66,0,0
947,66,0,0
953,66,0,0
957,66,0,0
962,66,0,0
966,29,0,0
970,29,0,0
979,29,0,0
984,29,0,0
988,29,0,0
993,29,0,0
997,29,0,0
1001,29,0,0
1009,11,0,0
1017,11,0,0
1021,11,0,0
1027,11,0,0
1034,11,0,0
1038,11,0,0
1046,21,0,0
1055,21,0,0
1059,21,0,0
1067,21,0,0
1073,21,0,0
1077,24,0,0
1084,24,0,0
1088,24,0,0
1092,24,0,0
1101,24,0,0
1110,24,0,0
1115,39,0,0
1118,39,0,0
1122,39,0,0
1126,39,0,0
1132,39,0,0
1140,39,0,0
1144,39,0,0
1149,39,0,0
1153,57,0,0
1157,57,0,0
1165,57,0,0
1171,57,0,0
1175,57,0,0
1182,57,0,0
1190,72,0,0
1194,72,0,0
1203,72,0,0
1212,72,0,0
1218,72,0,0
1222,72,0,0
1230,76,0,0
1235,76,0,0
1239,76,0,0
1247,76,0,0
1256,76,0,0
1263,76,0,0
1266,76,0,0
1271,76,0,0
1275,76,0,0
1283,76,0,0
1292,76,0,0
1299,82,0,0
1302,82,0,0
1311,82,0,0
1319,82,0,0
1323,82,0,0
1332,82,0,0
1340,86,0,0
1344,86,0,0
1348,86,0,0
1356,86,0,0
1360,86,0,0
1369,86,0,0
1377,88,0,0
1383,88,0,0
1387,88,0,0
1394,88,0,0
1403,88,0,0
1406,88,0,0
1415,87,0,0
1423,87,0,0
1427,87,0,0
1435,87,0,0
1441,87,0,0
1445,87,0,0
1450,85,0,0
1453,85,0,0
1457,85,0,0
1465,85,0,0
1471,85,0,0
1475,85,0,0
1484,88,0,0
1489,88,0,0
1493,88,0,0
1501,88,0,0
1508,88,0,0
1512,88,0,0
1517,88,0,0
1525,86,0,0
1529,86,0,0
1538,86,0,0
1545,86,0,0
1550,86,0,0
1554,86,0,0
1561,86,0,0
1566,86,0,0
1570,86,0,0
1578,86,0,0
1586,86,0,0
1590,86,0,0
1599,86,0,0
1606,86,0,0
1610,86,0,0
1615,86,0,0
1623,86,0,0
1627,86,0,0
1636,86,0,0
1643,86,0,0
1652,86,0,0
1656,86,0,0
1664,86,0,0
1673,87,0,0
1681,87,0,0
1685,87,0,0
1691,87,0,0
1698,87,0,0
1702,87,0,0
1711,85,0,0
1720,85,0,0
1728,85,0,0
1731,85,0,0
1740,85,0,0
1744,86,0,0
1747,86,0,0
1756,86,0,0
1764,86,0,0
1768,86,0,0
1774,86,0,0
1779,84,0,0
1783,84,0,0
1787,84,0,0
1795,84,0,0
1799,84,0,0
1805,84,0,0
1810,84,0,0
1813,84,0,0
1817,88,0,0
1821,88,0,0
1829,88,0,0
1832,88,0,0
1836,88,0,0
1842,88,0,0
1851,88,0,0
1855,86,0,0
1860,86,0,0
1863,86,0,0
1867,86,0,0
1875,86,0,0
1881,86,0,0
1885,86,0,0
1894,85,0,0
1899,85,0,0
1903,85,0,0
1911,85,0,0
1920,85,0,0
1928,85,0,0
1932,85,0,0
1941,85,0,0
1948,85,0,0
1952,85,0,0
1960,85,0,0
1969,85,0,0
1977,85,0,0
